loc_sub,erd_sub
spaceloc1001,docnet2001
spaceloc1002,docnet2002
spaceloc1003,docnet2003
spaceloc1004,docnet2004
spaceloc1005,docnet2005
spaceloc1006,
spaceloc1007,docnet2007
spaceloc1008,docnet2008
spaceloc1009,
spaceloc1010,
spaceloc1011,
spaceloc1012,docnet2012
spaceloc2013,docnet2013
spaceloc2014,docnet2014
spaceloc2015,docnet2015
spaceloc2016,docnet2016
spaceloc2017,docnet2017
spaceloc2018,docnet2018
